Sex,Age,Height(Inches),Weight(Pounds),BMI
1,21,66.65442,127.9094,20.24153194
0,21,67.20022,136.8048,21.29897823
0,23,71.20749,138.9045,19.26033268
0,28,71.64258,154.3787,21.1467567
0,29,68.09536,139.4726,21.14719064
0,32,68.11601,138.099,20.92622817
1,25,69.57164,133.752,19.4282922
0,23,67.897,123.706,18.86637302
0,34,68.92362,133.4767,19.7545948
1,34,68.85579,129.4416,19.19516128
0,20,66.93016,145.6689,22.86240628
0,25,71.03782,126.1809,17.5797702
1,32,66.94058,121.4461,19.05475876
0,24,69.32304,142.2131,20.80574294
1,29,67.21622,119.7238,18.63078462
0,20,64.26905,106.7157,18.16449718
1,26,67.43203,130.1147,20.11836673
0,20,68.98981,138.5589,20.46743185
0,23,67.38395,120.821,18.70804125
1,18,67.72313,112.5397,17.2516458
1,22,67.79721,127.7983,19.54790665
1,21,67.98674,133.9054,20.36800444
0,21,66.87883,99.56439,15.65040308
0,25,69.75841,122.1663,17.65050348
0,21,67.87888,131.3067,20.03624691
0,24,69.23586,143.7584,21.08481875
0,28,68.7266,151.6764,22.57704598
0,29,67.19957,115.6396,18.00414145
0,31,66.58109,107.1456,16.99305111
1,34,68.82634,150.2899,22.30587521
0,22,67.67068,118.7544,18.23255164
0,34,64.81833,108.9651,18.23436192
0,29,68.88452,136.5556,20.23322288
1,21,65.39146,124.8106,20.52145865
1,24,69.91503,119.8377,17.23658369
0,23,63.54206,99.76986,17.37303146
1,20,70.13123,148.4142,21.21540699
1,24,67.05703,133.3179,20.84484448
1,27,69.45941,135.9285,19.80829833
0,31,66.94935,128.028,20.08218924
1,35,67.81851,122.8946,18.7860354
0,22,63.65292,127.5172,22.12742765
1,32,67.11763,127.4499,19.8913884
1,31,68.64794,136.7766,20.40589318
1,25,69.3026,132.8961,19.45413851
1,35,68.60861,122.4088,18.28328474
1,32,66.80109,113.3951,17.86594589
0,22,70.87196,115.3527,16.14647413
0,23,67.90794,136.4296,20.80014283
1,20,64.88167,131.3802,21.94242906
0,24,70.78203,151.4922,21.25901159
1,24,70.35834,112.2811,15.94682814
0,23,66.99549,129.9559,20.35652718
1,35,68.83182,116.898,17.34712064
1,35,67.33693,124.2691,19.26883031
0,23,68.98465,127.9153,18.89802361
0,35,67.60913,139.9747,21.52968493
0,34,65.38645,117.6032,19.33937545
0,21,68.16769,133.1749,20.14948955
0,28,68.17351,119.293,18.04606323
1,18,69.88287,122.8937,17.69240932
1,26,67.58588,123.5244,19.01251769
1,20,68.5846,131.1773,19.60669041
1,26,67.00383,95.88791,15.01631674
1,34,69.99553,158.3578,22.72467448
1,35,72.53259,133.576,17.85093164
1,34,65.08427,135.3471,22.46444547
0,32,66.11127,128.7408,20.70923361
0,34,69.9046,129.0113,18.56158529
1,27,67.97472,118.2064,17.98642952
1,25,66.82932,136.9731,21.56254528
1,20,69.3533,134.4424,19.65173138
0,32,71.39534,124.8929,17.22649179
0,23,66.59922,136.3075,21.60629447
1,27,69.40189,120.8579,17.6413279
0,35,70.27495,135.9954,19.36073997
1,23,67.31858,124.6169,19.33329484
1,34,71.45173,131.5614,18.11764781
0,19,68.83931,157.078,23.30457405
1,24,68.99723,124.6289,18.40578202
1,34,67.73454,132.1244,20.24703718
1,23,64.8353,118.2692,19.78096313
1,34,70.74426,139.9319,19.65771972
0,20,72.26598,149.2389,20.09153277
1,32,64.72663,126.0976,21.16116885
0,35,67.5752,119.6545,18.42269579
0,32,69.51645,140.2187,20.3999728
1,22,70.48831,111.7304,15.81014966
0,34,69.32666,128.4377,18.78844288
1,26,68.52587,109.5741,16.40580782
0,22,73.16001,135.1826,17.7571027
1,21,64.28542,119.4849,20.32763607
0,28,66.65608,135.1861,21.39199675
0,32,64.71064,111.5654,18.73168994
0,21,62.99042,115.6669,20.4955186
0,22,68.70787,123.0031,18.31900622
0,34,68.12126,126.6086,19.18212363
1,22,66.77899,122.0006,19.2345087
1,32,68.23149,119.6607,18.07093619
0,28,68.42894,122.0538,18.32611906
0,31,64.0197,127.9519,21.94917968
1,29,71.09565,117.1362,16.29310651
1,33,69.87248,147.2908,21.2110481
1,26,66.51831,125.4061,19.92668576
1,20,68.57445,123.3187,18.4375451
0,24,67.46212,139.4874,21.5483407
0,28,69.61527,137.9174,20.00823877
0,34,66.86386,119.266,18.75567026
0,26,66.18998,115.9555,18.60825621
1,29,69.7905,130.5095,18.83858722
1,32,70.21174,131.2829,18.72352063
1,20,71.14846,130.8226,18.1698186
0,27,74.28376,147.7877,18.82995828
1,34,64.48835,102.7518,17.37103646
1,22,65.97201,124.009,20.03238217
1,29,66.51754,134.4456,21.36353215
1,22,67.83224,125.095,19.11465472
0,18,68.7614,138.5499,20.60229586
1,30,70.18641,134.395,19.18120458
1,26,65.12676,118.875,19.70472635
1,21,71.25743,136.5501,18.90734447
0,20,67.75602,127.7343,19.56187958
0,35,67.80062,120.5416,18.4360741
0,21,66.71286,137.1043,21.65861996
0,26,65.9331,119.1788,19.27484263
1,29,70.75201,124.9258,17.54580904
0,27,64.36337,100.9973,17.14079801
1,31,66.51439,111.0706,17.6508944
1,28,69.03382,143.6707,21.19547823
1,18,65.454,124.8217,20.48408327
1,28,68.82248,136.6368,20.28177076
1,30,69.35365,136.1504,19.9011925
1,33,68.4663,126.8492,19.02535806
1,29,69.50765,133.1992,19.38363526
0,18,67.68823,138.961,21.32384117
0,19,69.41031,136.4148,19.90729932
0,30,69.67469,118.0784,17.10090889
0,23,68.04007,149.4074,22.6903622
0,28,65.16827,124.2854,20.5753179
1,18,66.15991,131.0075,21.04287965
0,35,65.87678,122.0955,19.78034014
1,18,66.73303,125.1468,19.75772263
0,21,66.77722,107.7781,16.9931025
0,32,67.93868,131.2999,19.99995461
1,28,67.48863,128.1304,19.77833741
0,22,70.19163,111.1449,15.86053044
1,34,66.40732,111.0917,17.71122209
0,20,68.05629,115.4242,17.52101075
1,34,65.52001,132.1594,21.64457048
1,29,65.64331,121.3271,19.79592033
0,26,65.63637,136.2254,22.23145087
1,31,67.70932,115.7406,17.74956233
1,19,67.49917,133.5066,20.6017776
0,24,66.29127,127.8453,20.45365432
1,25,69.74138,142.3054,20.5702292
0,27,63.45437,106.2611,18.55453428
0,24,69.46406,134.3778,19.57969959
1,24,68.05326,120.6881,18.32168471
1,19,67.07399,139.5754,21.8121975
1,35,65.59536,124.4232,20.33077578
1,20,70.01907,122.7936,17.60929137
0,21,67.13432,122.1132,19.04900287
1,23,69.95471,139.8142,20.08705112
0,23,68.31764,130.2584,19.62180034
1,29,67.93284,111.6216,17.00542636
0,22,68.37831,109.8238,16.51423897
1,27,69.38169,138.2864,20.19707817
1,19,67.83912,121.4831,18.55898745
1,25,66.76314,120.3041,18.97604685
0,35,69.13398,124.0916,18.25400179
1,18,65.58554,119.738,19.57107252
0,24,67.12002,132.4267,20.66665674
1,28,68.20826,126.163,19.06588151
0,31,69.83352,124.5901,17.9619917
0,32,68.52243,129.9774,19.46261346
0,19,66.61883,114.8356,18.19203846
0,34,67.03413,123.505,19.32374996
1,32,68.58395,124.7217,18.64214396
0,20,68.48187,126.5771,18.97591575
0,35,68.22285,143.9747,21.74829874
0,21,70.11615,127.6471,18.25465601
1,31,64.31068,119.6461,20.33907357
0,32,68.91069,103.7011,15.35355644
1,26,68.01192,140.6438,21.37712738
0,33,68.44067,130.1721,19.53836552
1,19,69.5139,132.2547,19.24272746
1,22,69.20247,118.3357,17.37286386
1,33,66.04611,107.3271,17.29871054
1,35,66.015,134.3205,21.66984816
0,21,69.00199,128.0736,18.91190202
1,27,69.61754,143.0774,20.75546737
0,29,69.41293,127.4879,18.60317354
1,19,68.42341,117.5081,17.64644389
1,25,68.59122,132.3095,19.77209994
1,18,70.47426,126.1309,17.85497596
1,34,70.13001,138.7704,19.83754214
1,26,69.01521,128.4133,18.95479985
0,34,70.97422,129.5877,18.08678387
1,30,69.42301,116.2255,16.95482719
0,21,66.84684,111.121,17.48369416
0,34,68.37668,118.7218,17.85308515
0,21,67.80923,131.6974,20.13716828
1,33,66.4699,141.4318,22.50587185
0,27,70.23437,138.4311,19.73027377
1,18,70.16075,139.4051,19.91081515
1,18,66.23907,109.824,17.59817486
0,24,68.76154,125.4809,18.65886658
1,31,64.64843,122.8828,20.67159357
0,24,69.51686,150.847,21.9459915
1,23,67.7263,128.1654,19.64513063
1,29,68.53926,121.0356,18.11478271
1,25,68.16448,137.2303,20.76503104
0,27,70.16738,131.504,18.77877532
0,20,66.92499,127.9481,20.08426925
0,29,67.18215,127.5982,19.87630147
0,27,65.35392,125.9641,20.73491825
1,20,67.71159,128.942,19.77275577
0,30,69.35197,123.6344,18.0725962
0,25,67.54023,132.426,20.41018844
1,30,68.43556,122.0015,18.31472253
1,31,66.50187,130.4876,20.74437487
1,18,68.9358,127.2358,18.82428584
0,19,65.99168,119.7409,19.3313851
1,26,69.45486,140.6464,20.49850385
0,32,66.9045,137.6207,21.61583057
1,22,67.63969,118.1787,18.16079328
1,18,66.1437,128.4443,20.64128307
1,21,67.59159,134.3476,20.67489968
0,33,71.78019,166.3016,22.69269334
1,19,69.44107,123.4122,17.99385058
1,29,71.98935,142.7132,19.36094109
0,31,70.15393,123.8781,17.69658023
1,32,70.10971,126.9465,18.1577994
0,31,66.68738,117.3343,18.54968333
1,21,70.49701,137.1545,19.40293773
0,34,65.43499,105.8885,17.38711551
1,31,69.52902,123.5902,17.9742444
1,20,66.08382,128.3405,20.66199592
1,19,67.53462,122.189,18.8355373
1,35,66.70738,119.1554,18.82629179
0,28,67.68437,127.9357,19.63422628
0,34,64.9133,117.8536,19.66411028
1,21,66.99054,114.2598,17.90050677
0,29,66.90392,124.3436,19.53075948
0,28,68.30928,121.873,18.36313851
0,23,67.78254,107.1698,16.39968725
0,20,66.67402,105.6942,16.71616687
0,28,68.02345,105.9209,16.09396961
0,34,66.26386,110.0377,17.61922763
1,22,68.65872,126.4691,18.86217833
0,20,68.8758,133.5623,19.79472171
0,24,70.66494,110.5288,15.56203149
1,29,67.46764,142.8422,22.06298737
0,24,66.86561,131.3179,20.64986092
0,34,68.07938,142.0148,21.5427552
0,22,66.97214,105.1855,16.48793804
0,35,67.09087,119.0616,18.59703426
1,19,66.25477,131.6159,21.08011036
0,27,68.48544,123.1869,18.46574566
0,21,67.56328,114.1342,17.57895978
0,33,67.94652,127.8594,19.47139419
0,25,67.63842,123.8136,19.02743587
1,19,69.49172,139.1029,20.2520451
1,24,69.35023,117.3644,17.15692272
1,27,68.48414,155.8502,23.36286906
1,28,67.34242,133.4692,20.69199873
1,35,63.7973,128.2173,22.14832323
1,24,66.47145,128.9056,20.51163612
1,35,68.39396,145.1997,21.82373316
1,24,67.86356,117.7852,17.98110061
0,24,69.62777,129.2314,18.74139443
1,35,65.50648,110.3151,18.07445706
0,18,72.72292,145.1721,19.29920263
0,27,70.14217,132.9902,19.0046584
0,21,68.78695,121.1068,17.99514068
0,27,68.67806,137.4109,20.48254748
1,35,71.31953,141.1587,19.51144926
0,33,67.84642,137.6199,21.01968429
0,32,68.40321,111.129,16.69833867
1,34,65.63922,129.8425,21.18794658
1,26,70.43045,130.4964,18.49594087
0,21,68.00444,124.4823,18.9248258
1,24,67.39155,138.9571,21.51139997
0,23,68.0015,136.2141,20.71018144
0,18,69.24153,131.2422,19.24593498
1,23,68.36251,106.3978,16.00646658
1,32,68.48326,124.4191,18.65164014
1,30,63.36476,110.7614,19.39508431
0,21,64.47663,125.7709,21.27033511
0,18,65.29852,114.0163,18.80005376
0,31,66.60327,135.8777,21.53554696
1,31,71.58316,133.3415,18.29542185
1,20,69.32199,138.8873,20.31979473
1,23,69.28785,132.6007,19.41916133
0,24,65.72065,123.9237,20.17202489
1,33,70.17847,127.4536,18.19462627
1,22,67.75328,148.2412,22.70424666
1,31,68.02834,122.158,18.55841962
0,29,67.12107,119.7528,18.68816923
1,20,69.66713,117.5732,17.0314382
0,25,69.00275,125.9822,18.60266706
0,25,65.31244,137.7114,22.6974412
1,30,67.28896,108.2831,16.8140321
0,25,68.80003,133.9222,19.89180273
1,22,68.98651,128.5798,18.99517156
0,31,67.06068,136.4265,21.32856592
0,28,68.05695,128.2201,19.46300843
0,27,66.84523,112.124,17.64235524
1,22,68.59912,135.1695,20.19484118
1,20,67.74997,127.2095,19.48498855
0,18,67.38104,119.7502,18.54383915
1,32,69.44609,119.5742,17.43173881
0,28,66.16242,137.4896,22.0823815
1,18,68.41685,129.0061,19.37683854
1,19,71.03861,147.6293,20.56754585
0,31,66.91687,126.9994,19.9401883
1,25,68.77967,110.6833,16.44980474
1,26,69.49877,137.0191,19.94461684
0,33,65.22814,125.0944,20.67124826
1,23,66.60077,142.9751,22.6621303
0,35,69.16164,129.2245,18.993855
1,22,67.09027,142.6689,22.28481624
1,32,67.51801,133.2004,20.54305769
0,28,63.13165,135.8015,23.9557135
0,35,73.45251,155.9981,20.32847737
1,35,63.47897,110.1628,19.2209145
0,21,67.17019,137.8439,21.47994784
0,35,66.73316,121.0711,19.11419143
1,28,67.93199,115.9738,17.66892134
0,24,70.64087,129.3937,18.23055444
0,18,65.33506,111.071,18.29392597
1,29,66.92901,111.5159,17.50277119
1,18,71.16317,144.9723,20.12673282
1,20,68.19393,123.3543,18.64926319
1,23,68.17463,127.3197,19.25967043
0,34,65.15114,111.6275,18.48953477
0,21,66.95485,123.4444,19.36003482
1,34,68.71217,116.1338,17.29378805
0,23,66.21228,106.3145,17.04960175
1,32,68.06876,129.3926,19.63417172
0,20,70.20125,145.3962,20.7425521
1,23,67.33368,130.253,20.19862737
0,20,67.63632,144.0878,22.14451096
0,30,66.23692,122.5351,19.63627357
0,28,67.59318,133.0454,20.47353945
1,18,67.82746,107.4374,16.41886779
0,20,71.17149,149.076,20.69161738
1,29,64.72317,116.8801,19.61642393
0,34,63.55844,103.049,17.93478386
1,27,69.71436,117.5245,17.0013241
1,29,68.3598,130.8889,19.69246466
0,30,68.51115,143.0422,21.42596987
0,18,66.59144,105.2595,16.68873097
1,25,68.90018,120.1055,17.78774957
1,28,68.62103,143.016,21.3534959
1,23,67.84607,126.8695,19.37789775
0,27,68.54416,138.9043,20.78612798
1,20,66.54197,121.5207,19.29557736
0,33,70.09349,131.7383,18.85191661
1,28,68.07186,120.9546,18.35210894
0,31,69.12659,138.612,20.39432736
1,35,70.69432,147.3622,20.7307912
1,31,68.92726,130.0261,19.24187242
1,33,67.10353,124.1674,19.38722619
1,32,68.07727,143.489,21.76773139
1,31,65.82037,123.8217,20.09439558
0,26,68.89326,130.7247,19.36435367
0,22,66.85902,123.2355,19.38271644
1,31,69.44484,114.1544,16.64222986
1,31,68.71047,153.0572,22.79327601
0,28,69.65196,126.5914,18.34578682
0,32,66.28558,120.8002,19.32984429
0,26,69.30112,129.099,18.89910314
1,32,70.5502,145.7179,20.58331067
1,29,67.09825,121.1429,18.91796436
0,34,66.43672,119.0362,18.96101196
1,22,68.01988,134.8026,20.48450009
0,30,65.04188,132.806,22.07142373
1,23,69.12072,127.696,18.79142048
1,22,66.70731,131.1142,20.71579943
0,19,71.77408,129.1887,17.63145216
1,25,68.2889,114.3058,17.23323686
1,22,64.9734,114.0111,18.98780541
1,28,71.4599,141.1522,19.43397622
0,23,65.03556,113.4672,18.86111632
0,27,69.05564,136.4157,20.11244505
1,32,70.76986,134.7036,18.90955695
0,21,67.74608,129.3842,19.82036863
1,33,65.393,97.8247,16.08365783
1,25,68.01276,130.7321,19.87010962
1,29,70.21576,146.9626,20.95735397
1,19,69.68073,139.0045,20.12807769
0,35,67.54382,126.4992,19.49464652
0,29,70.15526,138.6155,19.80113764
1,33,68.40203,123.6083,18.57412979
0,30,65.77722,132.5113,21.53281005
0,31,66.97553,125.2087,19.62460898
1,20,69.02762,116.7207,17.22268696
0,22,68.43486,140.1941,21.04620491
1,23,68.55513,115.1087,17.21975847
1,25,69.0732,129.883,19.13956145
1,35,68.09033,124.4072,18.86572334
0,21,69.05185,127.8751,18.85533154
1,30,66.95318,118.9592,18.65754255
0,33,69.27087,136.2203,19.95902729
0,35,64.46096,114.2431,19.33015182
0,23,64.9549,111.1484,18.52158726
0,28,66.87663,134.4741,21.13920788
0,34,68.23273,125.8111,18.99906759
1,25,69.044,137.9178,20.34076381
1,25,69.87691,109.3782,15.74933468
0,31,66.17919,115.505,18.54200584
0,33,65.71652,120.607,19.63460749
0,19,65.66691,130.3822,21.25807658
0,27,70.42201,130.8399,18.5490723
0,21,68.53986,141.4287,21.16654368
0,25,67.62274,113.1045,17.38974366
1,19,69.96111,120.7486,17.34473006
1,21,65.83646,111.1042,18.021725
0,35,68.88975,136.915,20.28339448
1,30,66.11515,125.3766,20.16570162
1,21,68.70642,132.7497,19.7714141
1,27,65.79474,118.1206,19.18413041
0,24,68.52388,129.7188,19.42306907
0,32,70.82503,138.2801,19.3813924
1,35,69.38767,127.8541,18.67019589
1,18,64.99997,106.3608,17.69921915
1,35,67.55168,118.5889,18.27134659
1,27,67.1831,117.5862,18.31618834
1,19,68.17915,133.4329,20.18173893
0,33,69.20783,120.0598,17.6232489
1,20,69.94376,124.5943,17.90601929
0,30,64.18266,118.6707,20.25381803
1,25,68.05417,135.4153,20.55687413
0,18,66.24238,121.9611,19.54106823
0,30,69.33374,133.7451,19.56083765
1,29,67.55372,118.1307,18.1996511
0,22,67.24855,128.5772,19.9892702
1,21,66.37183,124.8378,19.9240373
0,21,66.21681,135.8262,21.77939768
0,18,68.48138,115.2564,17.27901045
1,21,65.99503,146.0235,23.57214567
1,18,68.20817,143.0554,21.61873532
0,32,64.83886,120.4189,20.13829686
1,34,69.47052,136.1018,19.82720941
0,19,70.66531,135.2724,19.0456361
0,34,65.31799,113.9184,18.77271455
0,20,73.62592,144.2733,18.71213406
1,35,65.64183,139.218,22.716052
1,29,66.1763,137.8042,22.12362635
1,32,68.20944,123.0101,18.58876887
1,32,67.33013,126.067,19.55155644
0,30,70.70642,148.5372,20.88893793
1,35,69.27187,110.7831,16.2314947
0,31,66.49201,120.029,19.08736984
0,18,63.73844,122.7468,21.24252524
0,29,68.73929,128.6261,19.13893826
1,35,65.95611,120.8344,19.52897037
1,30,68.2791,125.4675,18.9214534
1,21,66.29813,127.7337,20.43157087
1,25,67.26906,132.8131,20.63521601
0,27,70.01685,141.7715,20.332118
1,19,66.99124,121.3387,19.00912508
1,23,63.33461,116.4184,20.40507751
0,19,66.48133,114.4604,18.20768305
1,19,66.96424,126.3607,19.81184668
0,35,67.76229,129.6594,19.85302469
1,32,68.64237,128.845,19.22568639
0,22,70.16208,141.6777,20.23463667
1,27,70.96379,140.0763,19.55644367
0,35,69.50635,126.771,18.44887015
0,30,63.75673,104.9152,18.14617804
1,34,67.97424,152.1104,23.14563025
1,20,66.1089,119.3998,19.20801832
0,35,63.30114,102.7788,18.03347009
0,23,68.76435,104.4743,15.5339395
0,24,67.68224,122.9173,18.86524235
1,29,71.11972,130.0384,18.07550189
0,18,68.865,121.9668,18.0818703
1,31,70.02623,131.5675,18.86365976
0,22,65.6918,107.2827,17.47858194
1,21,63.3557,117.6886,20.61397918
1,27,66.86873,143.4791,22.56011544
1,26,63.65356,102.6027,17.80377994
0,32,65.50331,116.8988,19.15501006
1,30,68.61979,123.9844,18.51258643
0,20,71.06865,136.2899,18.97170509
1,34,67.90434,123.2082,18.78639164
1,27,69.04428,144.3998,21.29658683
0,23,68.23808,145.3389,21.94457101
1,30,67.60055,119.9359,18.45217494
0,26,68.72349,131.6298,19.59488111
1,27,69.72755,133.7225,19.33724054
1,35,67.39229,146.2703,22.64303031
0,25,67.19624,119.8227,18.657265
0,35,65.56913,107.9515,17.65341222
0,31,65.93896,109.1714,17.65320308
1,31,68.3392,134.1385,20.19354136
0,31,66.37854,130.6212,20.84284992
0,28,68.06195,116.0239,17.60911413
1,33,72.14804,134.4365,18.15795545
0,22,66.3,134.8203,21.56388744
1,35,70.52384,116.5449,16.47480165
0,31,65.956,126.3619,20.42237999
0,32,69.77937,127.6585,18.4329342
0,18,68.01271,125.5257,19.07881145
1,29,71.04627,134.624,18.75161813
1,30,70.30748,129.3855,18.40269246
0,18,69.8685,127.9899,18.43366474
0,23,68.55351,119.5254,17.88132257
0,34,68.04279,111.4427,16.9233456
0,24,68.32377,143.6406,21.63377907
1,19,68.43992,124.9,18.7474531
0,30,69.70106,125.39,18.14608582
1,27,69.86274,126.7733,18.26145554
1,25,65.28588,120.2017,19.8276347
1,32,68.23316,120.3497,18.17409804
0,34,67.56772,130.5236,20.10061469
1,35,67.92319,137.9222,21.01826441
1,23,65.9763,118.559,19.14949999
1,18,66.72703,126.2936,19.94236115
1,21,67.16036,135.8841,21.18075493
1,28,67.7804,122.1423,18.69203832
1,31,64.55365,106.3292,17.93947642
1,33,67.47804,131.5261,20.30887412
1,28,67.29005,122.7303,19.05675355
1,18,66.84522,114.8025,18.06381411
0,33,63.83743,120.2347,20.74330049
1,29,64.04876,122.1794,20.93993647
1,23,69.05705,145.6834,21.47795105
0,29,66.07726,117.709,18.95415562
0,18,69.83849,131.9638,19.02234067
1,25,70.33978,128.3473,18.23826617
1,33,67.88517,132.8351,20.26571128
0,31,66.30635,120.4227,19.25736849
0,34,70.70419,127.4847,17.92943432
0,27,64.63844,111.2536,18.72109141
1,33,67.37468,118.4249,18.34207308
1,22,67.32338,132.2462,20.51399295
0,22,68.79557,137.0621,20.36081973
1,19,69.49827,130.716,19.02740602
0,18,69.18297,133.2681,19.57612031
1,24,68.05335,120.2172,18.25014902
1,26,65.60027,124.9529,20.41427261
1,20,69.84728,135.0017,19.45535072
1,29,71.20265,155.3163,21.53890125
0,19,66.1002,114.3986,18.40831284
0,19,68.91567,143.1158,21.18607185
0,33,65.88189,111.2503,18.02054475
1,27,67.45521,121.8782,18.8318878
0,30,67.21505,122.1602,19.01058612
0,22,65.97609,124.7486,20.14936464
0,20,67.96746,130.7902,19.90544757
1,33,66.85926,128.0209,20.13522879
1,27,67.62991,120.2907,18.49069593
0,34,67.1994,125.7923,19.58493303
0,21,65.68971,131.2235,21.38039634
1,31,68.65173,131.3886,19.59988564
1,29,68.37333,126.8527,19.07765872
1,26,66.48906,112.4772,17.88804728
0,28,66.03608,126.3124,20.36489808
1,26,67.01056,118.5625,18.5634921
1,34,67.52148,141.824,21.87079893
0,31,68.94504,135.164,19.9918877
1,20,65.95216,138.0343,22.3114499
1,32,68.70893,111.9057,16.66574227
0,32,64.0908,109.4352,18.73115142
1,18,66.00548,106.1651,17.13249484
0,31,70.50014,138.7377,19.62516675
0,20,69.06617,138.8835,20.47004182
0,21,67.20849,131.6754,20.49534315
1,19,68.71365,133.501,19.87912689
1,35,70.4988,123.6003,17.48456771
0,24,70.09293,120.5015,17.24419192
1,25,67.10959,127.9008,19.96654465
1,28,67.94613,108.2182,16.48047324
1,31,69.9019,132.8392,19.11380339
0,29,68.45258,112.1406,16.8260454
1,33,69.5192,131.5346,19.13503675
1,23,65.52153,124.897,20.45421282
0,26,67.62906,115.9246,17.82000115
0,32,69.24378,138.2668,20.27473562
0,23,68.39542,131.5288,19.76813235
1,26,64.77157,110.1024,18.45129114
0,20,70.23436,137.102,19.54084569
0,18,65.18062,109.788,18.16840168
0,32,66.20453,112.9286,18.11454185
1,31,70.60819,148.2754,20.91017996
0,21,65.64079,119.3393,19.47308284
1,21,69.72804,141.9129,20.52134319
0,20,67.49767,139.6238,21.54669751
1,31,69.18779,119.7962,17.59474386
0,19,66.83553,115.7201,18.21347573
0,33,67.17618,121.334,18.9038704
0,24,68.75179,159.3608,23.70349061
0,19,66.51066,133.2151,21.17238409
1,29,67.34769,141.3034,21.90312226
0,27,71.80087,129.831,17.70589208
1,34,67.69782,120.7103,18.51798745
0,28,69.0048,141.5982,20.90730012
1,22,69.06523,125.8677,18.55214779
0,22,65.88747,112.3178,18.19037905
1,32,65.84895,118.9697,19.29023337
1,18,67.18311,112.7574,17.56400972
1,19,63.79598,111.7201,19.29938692
1,19,67.47173,110.5494,17.07306611
1,20,67.15867,103.8433,16.18725212
1,35,70.38311,159.9758,22.70472303
1,29,66.68444,130.2472,20.59293282
1,24,66.66715,123.7624,19.57779458
1,32,66.82297,125.297,19.72822207
0,24,66.6039,122.711,19.44836063
1,25,70.88882,160.0364,22.39041292
1,31,70.28146,131.6777,18.74258575
1,25,68.61527,124.199,18.5470725
1,22,68.94252,122.5949,18.13413815
1,21,70.00817,143.777,20.62484961
1,33,63.92219,106.1497,18.26477403
0,30,68.18982,135.6658,20.5130442
1,28,66.93297,112.8116,17.70404032
1,25,67.12819,118.7819,18.53272225
0,35,67.29436,119.1211,18.49397153
1,25,70.49073,121.0715,17.13076394
1,32,66.8532,113.7029,17.88652464
1,27,68.51902,116.3811,17.42845927
0,20,68.68968,128.0095,19.07471416
0,23,67.64082,116.0115,17.82715901
0,24,68.69251,133.2729,19.85737789
1,27,67.6248,127.7888,19.64624829
1,22,68.8846,123.8782,18.35479035
1,33,69.76061,139.5499,20.16080246
0,25,67.56118,126.6252,19.50403716
0,20,69.78513,141.3982,20.41347405
0,22,70.21612,151.0506,21.54009545
0,35,66.27644,126.0282,20.17196529
0,18,67.40846,148.4483,22.96916679
0,18,68.20932,129.2407,19.53037965
0,18,65.79974,132.286,21.48148761
0,19,64.49618,106.4894,17.99853754
1,26,65.69093,125.0984,20.38166966
1,30,68.48055,130.2433,19.52629004
1,24,66.17897,123.5842,19.8390909
1,22,63.55273,101.2994,17.63344935
0,20,67.68025,118.3701,18.16841033
1,22,65.4426,109.8414,18.0319956
1,34,67.53819,131.1827,20.21978596
0,29,67.20388,125.2316,19.49503673
1,20,65.10901,131.8946,21.87477805
0,34,67.71775,116.0773,17.79676567
1,27,66.27965,98.28455,15.7298168
1,26,71.03656,127.6602,17.78650013
1,35,69.39922,134.0168,19.56360515
0,31,67.60067,123.7417,19.03763085
0,26,69.41439,125.4915,18.31108637
0,30,67.06842,135.2419,21.13848882
1,32,68.06961,122.0361,18.51742606
0,18,63.88211,117.4632,20.23681434
0,26,65.9194,120.1212,19.43533337
1,29,70.23642,124.4872,17.74184531
0,23,63.84676,116.313,20.06085112
1,33,68.9074,121.8405,18.04092368
1,22,64.0135,126.9209,21.77653714
1,26,67.36541,111.5266,17.27839395
0,18,69.06481,132.1843,19.4834139
1,27,67.06091,131.9966,20.63586527
1,20,68.71498,118.7562,17.68285018
1,22,70.10334,138.9367,19.87642999
0,21,70.90589,132.6605,18.55136321
1,23,66.77943,117.0903,18.4601118
0,31,69.55338,121.8668,17.7111904
1,28,68.45538,128.6212,19.29728495
1,24,68.10538,130.0686,19.71552964
1,35,64.46289,109.0084,18.4433261
1,27,67.78582,110.3563,16.88566803
1,28,65.82491,126.3494,20.50177485
1,32,66.22711,130.879,20.97959906
1,31,65.4258,130.8643,21.49423174
1,35,69.33268,123.4765,18.05955974
0,20,65.30644,111.1681,18.32597066
1,25,70.66767,151.1334,21.27735952
0,20,67.86539,127.2278,19.42156144
1,20,65.68213,114.755,18.70148034
1,27,66.27532,131.1304,20.98932843
0,33,64.15129,117.3512,20.04820853
1,19,68.93691,126.7825,18.75661695
1,35,66.77623,130.4524,20.56871234
1,23,68.66098,110.209,16.43599082
0,23,66.03851,120.0319,19.35089127
1,29,71.34562,131.9006,18.21843058
0,35,66.26107,118.9925,19.05467402
0,23,70.96703,136.5441,19.06156273
1,24,65.92505,114.2363,18.48000211
0,35,66.47783,119.0131,18.93389317
0,18,68.65041,144.86,21.61031185
1,20,68.22052,130.8069,19.76056812
0,24,69.53697,144.8661,21.06367119
1,23,71.31389,130.7968,18.08205097
0,29,68.65623,138.8268,20.70676395
0,35,63.90685,130.0556,22.38891553
0,22,69.54723,124.231,18.05797846
1,26,63.83536,119.8695,20.68163617
0,35,69.43228,110.2776,16.0828598
